GeneNames,logFC,p_values
STAB1,0.1,0.749489991319799
FUZ,0.1,0.683503716009947
SLC6A13,2.0,0.032261387105568
IDS,-0.5,9.35757028602271E-05
PRSS3,-2.4,6.35925640990886E-22
ZNF200,0.6,0.0148781266918956
CD4,0.5,0.120187723143925
LRRC23,1.8,2.61239131958568E-09
BTK,,
SCMH1,-0.1,0.613141585411184
FYN,-0.2,0.188666356512383
HIVEP2,-1.7,1.40117698130755E-11
FMO1,3.3,1.73624912279214E-08
ELOA,0.2,0.151211710178572
LYPLA2,0.6,3.05980316709317E-04
CLCN6,-0.9,3.18469054306811E-06
MRC2,2.0,2.13041090822743E-10
SLC6A7,-0.5,6.1691494534166E-04
TSPAN9,-0.7,4.36814521825935E-04
BTBD7,0.8,8.85545001887518E-06
APBA3,0.5,1.83832471643268E-04
MKS1,1.1,2.07369299710894E-10
ABHD5,,
ANOS1,-0.3,0.379665152938639
AKAP8L,-0.1,0.723734357848764
MBTD1,0.7,0.00671773737002353
UTP18,,
RNF216,0.1,0.724695953955049
TTC19,-0.3,0.0817676270793487
PTBP1,1.7,2.90004969620916E-18
DPF1,-1.1,4.62456553424112E-11
SYT7,-1.7,2.69450883423744E-07
LARS2,,
PIK3C2A,0.6,0.00949679863440457
PLAUR,0.8,0.00454097207225412
ANLN,-2.1,3.64402664593754E-05
WIZ,-0.4,0.00546806605556065
RABGAP1,-0.1,0.516803545350471
DCN,,
QPCTL,,
PPP5C,0.3,0.111767630889299
CEP68,-0.4,0.138086274956393
MAP4K3,0.1,0.661960091509846
ZBTB32,-0.6,0.00147496777534129
TYROBP,0.4,0.273289852626742
TMEM159,-0.2,0.344356347711303
GABRA3,-0.9,0.00152858704312937
BRCA1,1.0,7.73333153458596E-05
ERCC1,0.6,2.448957982289E-04
CD22,-0.6,1.41529941296291E-04
SEMA3B,0.5,0.281448622128838
MBTPS2,,
PRICKLE3,,
LTF,1.8,0.0344342257568204
EXTL3,-0.5,0.00151716005933909
NR1H4,0.4,0.0502551620246954
ELOVL5,0.3,0.0383233190342921
ALOX5,0.3,0.431625532599954
KDM5D,-1.4,0.0128274769796019
CALCOCO1,,
UBR7,-0.2,0.214248107649075
MAP4K5,0.7,0.00204533239289292
EHD3,-1.8,8.03176884326376E-08
PSMC4,0.6,2.46372043876957E-06
MAN2B2,0.1,0.758010963075867
SLC7A14,-3.2,1.39595764515244E-16
CLDN11,-1.9,0.00108616727057851
SLC25A39,0.9,1.65931263706537E-07
MVP,0.9,0.0111201068982286
NUB1,0.3,0.141648164473124
PGM3,0.1,0.811052793075102
RWDD2A,-0.6,6.1123782718268E-08
CLK1,-0.1,0.671145507838943
POLR3B,0.2,0.361273029128812
ANGEL1,-0.1,0.623475515428215
RNF14,-0.5,0.0109007233179664
DNASE1L1,-0.3,0.1259256076827
DDX11,0.7,4.35040334250382E-05
HEBP1,,
GPRC5A,0.9,0.00659137974218309
MAMLD1,0.9,2.68800052272229E-05
CD6,-0.4,0.00212853185218865
TACC3,0.6,0.0231858130998927
UFL1,0.7,0.0309201108965502
POLA2,,
ZC3H3,-0.1,0.384721912219299
CAPN1,0.2,0.186923161215368
ACP3,0.3,0.298443942651405
MDH1,-1.3,9.8422358364032E-13
SLC30A9,-0.4,0.0164572694778726
MTMR11,1.9,1.14107754939941E-13
COX15,0.4,0.0078414544978885
CCDC88C,1.8,3.78497333129387E-06
YAF2,0.1,0.608329062230918
ZMYND11,-0.2,0.0571759179432807
WAS,0.2,0.200821468375916
DPEP1,0.9,4.15679788861258E-05
BID,-0.1,0.739165931748901
NPC1L1,,
XYLT2,,
RGPD5,-1.0,5.07396560661118E-05
STMN4,-3.9,3.88624425722452E-15
NUDCD3,-1.2,1.41879900591631E-13
ISL1,0.1,0.324800746173208
CHDH,-0.2,0.306660093123447
IL20RA,2.3,8.8798354955856E-06
CLCA1,0.1,0.435585303303646
CLCA4,-1.0,8.11463186833621E-07
GLT8D1,0.7,4.22824763094989E-06
ATP2C1,-0.1,0.440611625740893
IGF1,-0.4,0.119877714153037
SLC38A5,0.7,0.0205637662908168
RALBP1,-0.2,0.275210848913928
RUFY3,-1.4,5.32957640888128E-09
CNTN1,-0.4,0.627256274471421
SLC11A1,0.3,0.364578249271644
WWTR1,2.1,1.02833028943951E-10
AGPS,-0.3,0.279275169024679
STEEP1,-0.5,0.00773177312480254
ATP1A2,-0.6,0.267420877499687
TTC27,0.7,0.00250292134062639
ZNF582,-0.1,0.470608008713792
VSIG2,-0.4,0.00268543493287343
PHLDB1,-0.1,0.45797166700914
MARCO,-0.3,0.278135431579003
CYP24A1,-0.5,5.49788894440231E-06
PRDM11,-0.2,0.366047771387206
SYT13,-5.2,1.17004989066121E-21
SNAI2,1.2,0.0018852427313168
CD74,1.3,0.00237889544354855
HGF,,
ZRANB1,-0.2,0.0840702999765275
NCDN,-3.0,5.56598345793858E-24
ADGRA2,0.4,0.147661968148256
ZFP64,0.4,0.0120234738882213
MNAT1,-0.1,0.766357675039207
SAMD4A,-0.6,0.0568941017261
RUNX3,1.0,8.03012371898646E-04
MRE11,1.2,1.86523796677143E-08
PLEKHB1,-0.8,0.0323261733908214
SERPINB1,1.0,2.59834489470314E-04
CYP3A43,0.3,0.109852849878561
SLC7A9,0.5,0.00190885141042174
SPAST,0.1,0.651289534066957
NRXN3,-3.9,6.85071748187703E-14
OSBPL5,-0.5,0.0102034537734081
AQR,0.9,7.70521468155177E-11
CPS1,0.9,2.37082869685436E-04
C8B,-0.1,0.627898479721739
FHL1,0.6,1.04607994065296E-04
RTF2,0.4,0.00377412038723689
GABRA1,-4.9,5.21079002944941E-23
NLRP2,0.1,0.610538416814424
SLC45A4,-1.5,1.89605834221555E-08
RNF10,-0.1,0.266001714529753
ZNF839,,
ZDHHC6,0.2,0.210380993271846
GRAMD1B,-2.2,6.14096152455992E-16
RNH1,0.4,1.69207815736681E-04
NDUFS1,-0.6,0.00623412419033666
RB1CC1,-0.8,9.69052918472557E-05
ERP44,0.6,5.64682190220346E-05
ALAS1,-0.5,0.10004616412288
BIRC3,0.3,0.071915056088627
AKAP11,-0.8,5.37140485614343E-06
GLRX2,-1.2,2.11841037148644E-06
SNAPC1,1.4,4.42893850523214E-09
DERA,0.9,1.91786552701261E-05
STRAP,-0.1,0.487899429460324
ABCC2,0.2,0.167928649480961
DEF6,-0.2,0.151672586198228
PLEKHO1,-0.3,0.33587429124095
GCLM,1.1,1.14924533338186E-07
UBR2,-0.4,0.0300798042133773
EHD2,0.2,0.34368517986606
DEPDC1,0.9,2.01920123350139E-04
CCDC28A,-0.6,0.00294104076290663
RRAGD,0.4,0.0702121489882967
HSF2,0.2,0.269789800296231
PHF20,-0.4,0.141435487402127
HSD17B6,-2.1,2.02122299474986E-12
NR1H3,0.7,8.23391472047831E-04
TYMP,0.3,0.35640360532214
NCAPH2,-0.2,0.381363370865479
TOMM34,0.1,0.684118930016693
SEC63,0.6,0.00271966279140357
KPNA6,-0.3,0.0122966583973471
VIM,2.7,3.9569390907252E-22
FAS,2.7,2.01296450880105E-09
RNASET2,0.5,0.0131677867893711
CD44,2.7,1.1128130875503E-10
KCNG1,0.2,0.638616104331784
AGPAT4,-0.3,0.0837463006360928
AGPAT4,-0.4,0.0576942097627104
SLAMF7,-0.1,0.61429079122842
BTN3A1,0.4,0.0556795865452442
MIPEP,1.7,7.38867098428457E-13
PRKCH,0.1,0.733639764619332
INSRR,-0.1,0.462899900211344
IFNGR1,0.3,0.0220925735572657
B4GALT7,0.1,0.369042313370912
SH2D2A,0.3,0.203554105235381
VRK2,0.8,0.00191210338459139
TNFRSF1B,-0.1,0.821504713211878
VEZT,0.4,0.0530253737002858
POU2F2,-0.7,0.00113897052699124
BRD9,0.1,0.200940162277989
SNX1,0.6,3.93197265184162E-05
TBPL1,-1.2,3.52790276473864E-08
ARNTL2,,
BCLAF1,0.2,0.20063222640042
SLC39A9,0.1,0.565371599999135
ANK1,-1.9,3.76864356559775E-14
IBSP,,
TFB1M,,
RABEP1,-0.5,0.00252878686084355
HMGB3,-0.2,0.372799751107351
NUP160,1.5,7.48560730656712E-08
BAK1,-0.1,0.567861150920341
MUSK,0.5,0.0284398729339125
IKZF2,0.7,0.00642223709916899
GRN,0.7,1.4444500932262E-05
FAM13B,-0.7,0.00723586117485922
ARHGAP31,0.1,0.800462373128402
CENPQ,1.1,7.0354241482544E-05
SARS1,-0.7,1.9318641358633E-05
RANBP3,,
ARID4A,-0.3,0.291024686602707
EIPR1,-0.3,0.146110527967066
PNPLA6,-0.3,0.181890160273032
IFT88,1.5,6.58410058156569E-10
ALG1,0.3,0.0719328898660644
ZCCHC8,0.7,0.00463915673469722
ABCF2,0.3,0.00608501921460012
LRRC7,-3.9,5.69010344465257E-13
FUT8,,
UBA6,0.2,0.510659414066785
GAB2,-0.5,0.0302723719527378
ATP6V0A1,-1.2,1.58745041883172E-11
PIAS1,-0.3,0.254291566801556
SLC4A7,0.4,0.122276357850716
APBA2,-1.6,2.94287204897071E-08
MAP2K3,0.1,0.858140479040845
EFCAB1,3.6,1.9323587324791E-14
TMSB10,-0.3,0.165882815117986
ASTE1,0.7,7.69814322036824E-04
RNF19A,0.8,0.0230314041847571
PEX3,0.4,0.0129004004658017
GABARAPL2,-0.1,0.723929250787916
MYOC,0.4,0.167876334006187
SH3YL1,-0.3,0.285791070605226
FAM136A,-0.1,0.599850720648849
VCL,0.9,1.39767628623847E-04
DEPDC1B,0.5,0.217090319919279
DAPK2,-0.3,0.0729043731003896
NSMAF,0.2,0.31319410364915
ADSS2,0.1,0.721040752815655
STAP1,-0.1,0.629221034475441
TIMP2,0.8,2.93344229162238E-06
RFC1,0.2,0.463326219253588
TBC1D23,-0.3,0.106082269694497
CUL3,0.2,0.204541890925001
MYOM2,-0.7,0.00285411314902789
OTC,0.2,0.587898254395369
CYP46A1,-2.9,2.46350636628331E-15
ZZZ3,0.5,0.0122756894081512
SLC18A1,,
USP2,0.4,0.115010471440261
CASR,-0.5,0.00769769407977734
TUBG2,-1.8,4.60786154019098E-12
FLT4,0.3,0.0158990783050334
NSUN2,0.5,0.00368108687687615
FBXO42,-0.1,0.244931077118783
MFAP3,1.1,5.27652089573554E-05
MRI1,-0.1,0.680732733280394
METTL1,-0.1,0.817672506240238
HOXC8,0.3,0.180361183278516
AGA,1.6,6.04329323889462E-12
PI4K2B,0.4,0.00190147635251348
BOD1L1,-0.5,0.00502924740340953
MAT2B,-0.4,0.0433686170176065
TLL1,0.1,0.328627957945974
TRIO,-0.8,6.5849886020961E-05
VCAN,1.8,4.15987189502654E-05
CLEC16A,-0.5,0.00144625003904009
MSR1,0.7,0.104108317861453
CDH1,-0.1,0.882268822776606
MTREX,0.2,0.192975881792367
DNAH5,2.2,3.02629192001836E-11
ZFYVE16,0.3,0.191570713757403
RIPOR1,-0.7,2.01997573502132E-11
C6,0.6,0.114623194631523
RAI14,0.8,8.16124215347471E-04
SOX30,,
PNKP,0.4,0.0256827287735932
BEST2,0.1,0.734740333716845
PHLPP2,-1.3,1.17475393155695E-13
SPDL1,0.6,0.00245393637712186
STAU2,-0.8,2.24632704830346E-05
SLC66A1,0.4,0.0539813629561941
CTNS,0.7,3.90424110835232E-04
RTN4R,-1.5,1.36060573219779E-04
PHF23,0.6,1.54059226323804E-05
CDH10,-2.1,9.90671464644141E-06
INPP4A,-1.4,8.79871713695217E-07
RAB27B,-3.3,4.0395664555948E-11
PSMA4,0.2,0.193854127697014
MYO16,-0.9,0.0531358562565064
LSG1,0.2,0.24741036362541
PARP3,0.3,0.0302629486969712
TNC,3.5,5.2637142390239E-15
THAP3,-0.3,0.0775815262820916
RIPOR3,0.5,0.256465781497777
TDP1,0.6,6.06265030108397E-04
AIFM2,0.2,0.0678300652955419
C2orf83,-0.2,0.118484532804116
SPATA7,0.1,0.763623820901464
MED17,0.8,1.47747298470437E-05
RETSAT,0.6,1.84342224010569E-04
CAPG,0.7,0.00872897176642971
AP2S1,-0.3,0.0210027092085138
USH2A,,
ZPBP,0.2,0.156126825798629
TG,0.4,0.063436199918112
ADAM28,0.5,0.170821163856538
BARX2,0.1,0.725480667215539
DCUN1D1,-0.4,0.0672342923150706
JADE2,-1.4,5.97647443092459E-05
ZIC2,2.2,8.23161078696375E-08
LCP2,0.3,0.173752868592215
TRIT1,0.2,0.29994120454726
ADRB1,-4.3,2.77340842665275E-15
GUCA2B,-0.3,0.0145125109703093
CUL7,0.3,0.0370192632878169
CTNNA1,1.1,1.22242856188849E-12
PHKA2,0.5,0.00295747519190322
CNTLN,1.4,1.09876193645394E-12
EPHA3,-0.6,0.427652345783139
HSPA5,0.8,3.02962068303949E-06
DSG2,3.6,1.7586718367147E-14
GEMIN8,0.9,6.29187599898936E-05
OFD1,0.9,8.73302057975805E-05
GPM6B,,
MAGEC2,0.3,0.070216195217747
PREX2,-0.2,0.607876923471471
WDR37,-0.4,0.0831279621218978
YTHDC2,-0.3,0.402635065176251
CTPS2,0.7,0.00235103854286604
ATP6V1H,-1.2,1.45374288348878E-07
POLR2B,0.2,0.510900710298842
FAM214A,,
ARAP2,-0.5,0.23181810867035
TPR,0.6,3.29648006950823E-05
CP,3.2,3.09719608565911E-06
KATNIP,0.9,4.05437330947629E-07
DTNBP1,-0.6,2.70530184971039E-04
XK,-2.1,2.73103809040037E-06
ANO2,-0.1,0.459879145192667
C12orf4,-0.4,0.0316678956463977
SCML1,0.6,0.0695236114608999
WWC3,,
ARHGAP6,1.6,1.37777603850398E-04
FAM184B,0.1,0.661750403631529
MAP4,-0.3,0.110120350155794
GOPC,0.4,0.0255870244287441
ROS1,,
USP28,0.6,0.00298267354172334
HDAC9,-1.0,2.47461518278802E-04
TSPAN17,-0.3,0.0670004783946199
NOP16,-0.3,0.0909572849713731
CC2D2A,2.3,2.82100511850934E-19
RRM2B,-0.2,0.279139567095022
ZNF800,-0.1,0.539894015005647
TNFRSF17,0.1,0.715540281902359
SNX29,0.3,0.0953417815179156
LMO3,,
MRPS10,-0.2,0.439818833573799
RSF1,-0.2,0.198045220780764
VPS13D,,
CELF2,-0.8,1.81424030486971E-05
FAM120A,0.5,6.67631846097559E-04
R3HDM1,-1.9,3.39712512426159E-11
COL9A2,1.4,0.00787773831672819
KITLG,0.4,0.296173213906971
ERCC8,0.8,1.67836309188037E-08
ADAMTS6,1.6,2.24126766006679E-05
H6PD,1.7,3.54526068174366E-13
VAMP3,0.5,0.00245393637712186
PER3,,
UTS2,0.3,0.240671971953234
TNFRSF9,-0.3,0.0125829241598255
LTBP1,2.2,1.36040231177923E-11
RCN1,1.4,6.3247560378622E-11
ELN,3.8,3.059525993683E-11
RFC2,0.5,0.00618343108205195
ARID1B,-0.3,0.2686347875087
CLPTM1L,0.8,1.8979184675859E-08
NEDD4L,-2.4,1.81815201519553E-12
FOXP3,-0.4,2.28187339157906E-04
PPP1R3F,-1.6,9.41149575688286E-18
HEXB,0.4,0.149497990226012
PTCD2,0.1,0.773113262885378
NEXMIF,-0.8,0.067142153203733
JKAMP,0.6,4.3564967596898E-05
DKK 3.00,-0.1,0.731540868910781
ARHGEF5,0.6,5.54864907774817E-04
NFE2L3,0.4,0.314936685537528
MCUR1,-0.4,0.165057794332088
LIMA1,0.5,0.0769898464842762
LETMD1,-0.4,0.0140095475322337
SLC4A8,-1.0,6.20918208386372E-09
LAMC3,-0.1,0.623631910530277
PTGER3,-0.2,0.243272348853553
MAPK9,-1.4,1.8821557284251E-12
COL23A1,-0.4,0.22531662170858
BCAR1,-0.2,0.162070291515247
FAM160A2,-0.4,0.00722314112330163
HERPUD1,-0.1,0.651045456968622
HOMER3,,
RAD51,0.8,5.6913555738914E-07
POLQ,0.5,0.0010607448074672
PIK3CB,-1.3,2.23298552350369E-09
CYBA,1.3,4.89483977870555E-06
HEBP2,1.1,3.90112252217163E-07
MPHOSPH9,-0.5,0.0831720273884372
PLEKHA5,0.7,0.00905258831257864
PRSS8,0.2,0.263271200724886
SIKE1,0.2,0.521637739503098
RRP12,0.4,0.0145944456748011
FNIP2,-1.3,3.04520302973332E-05
MSMO1,0.4,0.164853478604106
TTC17,0.5,0.0043604077236128
ALX4,-0.3,0.00569058038118458
FSTL4,-0.4,0.0482684886547878
FOXN3,,
AKR7A2,1.0,1.02151032733087E-06
MRTO4,,
NNAT,-0.1,0.83076415860055
USE1,-0.5,0.0888038260564892
MCF2L2,-0.7,3.8106952771443E-06
NRIP2,-0.9,0.00442766861141508
LAMA3,0.6,0.10327974945965
AP5M1,-0.1,0.484021879656959
ANAPC4,0.1,0.815805672497628
KCNQ1,-0.1,0.693811552826674
TRAPPC3,0.2,0.365118322242821
THRAP3,0.2,0.0837899857571882
ENTPD2,0.7,0.0932586171258907
LY75,1.0,0.0053488776205841
ARID4B,,
OPN3,-0.8,0.00629912118953884
SDCCAG8,-0.7,0.00580645476451623
PTPRN,-2.5,2.52643387808284E-15
HHAT,0.7,0.00749591754573606
KIF1B,-1.0,5.1739042164203E-09
FOXC1,,
TBC1D22A,0.1,0.441541906592734
SYNE2,1.1,0.00272576790366131
PLEKHH1,-2.5,3.58212613444756E-08
ATP9A,-1.4,3.16728224788127E-08
SPO11,-0.1,0.338470844796777
CBLN4,-1.6,1.98813396800586E-08
CHRDL2,1.1,0.00104405553378701
FAM168A,-0.6,5.3120470826514E-05
RELT,-0.2,0.178807222763811
GALC,0.5,0.0347100849735088
NOP58,-0.3,0.274852981799168
SZRD1,0.5,4.08882967083814E-06
KCNH2,0.1,0.728145557317264
CUL1,-0.1,0.651349972673989
FAM114A2,1.2,7.21356666174979E-12
CYFIP2,-2.2,4.13662814556929E-12
TAB2,0.6,0.00113747447696907
GINM1,0.9,6.25307562988097E-06
EIF2AK2,0.4,0.0141465069520265
USP36,-0.3,0.0321643112084672
KMT2C,,
MCOLN3,-0.1,0.853271116300213
CCDC85A,-0.2,0.338238458182194
PUM2,-0.5,4.53349469947997E-04
MRPL43,0.2,0.189978563263876
ITIH1,,
HPF1,0.1,0.618059764479046
ZFR,-0.2,0.182805082507344
ZNF280C,0.3,0.204237113618053
NPFFR2,0.1,0.719256008204562
PHF21B,0.3,0.375385278786156
TRAF1,0.4,0.0208648687400815
