Gene Name,"'Astrocytoma, Pilocytic' vs 'normal'.foldChange",'ependymoma' vs 'normal'.foldChange,'glioblastoma' vs 'normal'.foldChange,'medulloblastoma' vs 'normal'.foldChange
LAMP2,0.7,0.5,0.7,-0.3
ITGA2B,-0.5,-0.5,-0.5,0.3
ASB4,-0.4,-0.7,-0.1,-0.7
GDE1,-0.3,-0.7,-0.5,-0.9
REX1BD,-0.6,-0.7,-0.6,-0.4
CRLF1,-0.6,2.7,-0.8,-0.3
OSBPL7,0.1,-0.3,-0.2,
TMEM98,-0.2,1.5,0.9,2.0
YBX2,-0.3,-0.1,-0.3,-0.4
KRT33A,-0.3,-0.3,-0.3,
MAP3K14,0.2,0.2,0.1,0.4
ABCC8,-0.7,-2.1,-1.9,-0.6
CACNG3,-3.4,-3.6,-3.2,-2.7
TMEM132A,-1.0,-0.6,-1.1,-1.0
AP2B1,,-0.5,-0.4,-0.2
TAC1,-5.4,-5.2,-3.9,-1.9
ZNF263,-0.4,-0.2,0.1,0.3
CX3CL1,-0.8,-1.0,-1.3,-2.9
SPATA20,-0.5,-0.3,-0.8,-0.9
CACNA1G,,-0.7,-0.8,-0.3
TNFRSF12A,0.8,1.0,1.2,-0.4
DLX6,-0.7,-0.9,-0.5,-0.2
MAP3K9,-2.6,-2.9,-2.8,-1.6
RALA,0.2,-0.4,0.3,0.3
BAIAP2L1,-0.6,-0.4,-0.5,-0.2
KDM7A,-0.5,-0.2,-0.4,0.5
ETV1,1.3,-2.2,1.3,-0.7
AGK,-0.2,-0.3,-0.1,
ALDH3B1,0.1,,0.1,-0.1
TTC22,0.3,0.3,0.3,0.2
PHTF2,0.1,-0.6,0.4,0.9
CCL26,0.3,0.2,0.6,0.3
FARP2,1.2,0.7,1.3,0.9
USH1C,0.6,0.4,0.2,-0.4
GGCT,-0.8,-0.7,,-0.2
DBF4,0.3,0.1,1.8,2.0
TBXA2R,1.4,0.7,1.3,0.5
IFRD1,-0.3,-0.3,0.7,0.5
LGALS14,0.1,-0.1,,-0.1
COX10,0.2,0.4,0.2,0.4
COX10,-0.1,-0.2,-0.1,-0.3
GTF2IRD1,0.2,0.4,0.7,1.7
PAF1,0.1,0.2,,0.1
VPS41,,,0.1,-0.3
ARHGAP44,-1.3,-1.5,-1.5,-1.0
ELAC2,-0.1,0.2,0.1,
SCIN,0.3,0.3,0.3,
ARSD,0.6,0.9,0.7,0.9
PNPLA4,-0.5,-0.1,-0.8,-1.7
MYH13,-0.3,-0.3,-0.4,-0.3
ADIPOR2,-0.1,-0.3,-0.1,-0.4
CDKL3,0.1,0.1,,0.2
UPP2,-0.7,-1.2,-1.4,-1.2
PRSS21,0.1,0.2,0.2,-0.1
MARK4,-0.8,-0.7,-0.8,-0.5
PROM1,1.1,2.9,2.2,0.3
CCDC124,-0.1,-0.1,,-0.1
CEACAM21,0.2,-0.1,,0.4
PAFAH1B1,-0.6,-0.9,-0.9,-0.5
NOS2,-0.8,-0.8,-0.4,-0.6
DNAH9,0.5,1.9,1.0,0.2
KIAA0100,0.2,0.3,0.1,0.3
SLC13A2,-0.4,-0.4,-0.4,-0.5
GAS7,-2.0,-1.6,-2.2,-3.4
TRAPPC6A,-0.2,0.3,-0.2,
MATK,-1.9,-1.4,-1.7,-1.6
CEACAM7,-0.1,-0.2,-0.2,-0.3
CD79B,-0.4,-0.2,-0.4,-0.2
SCN4A,-0.3,-0.4,-0.3,-0.4
ST7L,0.3,0.4,0.4,0.2
TKTL1,1.2,2.5,0.4,-0.2
PAX6,-2.2,1.4,-1.2,0.9
RPUSD1,-0.2,-0.3,,-0.1
RHBDF1,1.5,0.2,0.8,-0.1
LUC7L,-0.2,-0.1,0.1,0.4
CACNA2D2,-1.3,-0.8,-1.7,0.3
BAIAP3,-0.9,1.8,-0.5,-1.1
TSR3,-0.1,,,
PIGQ,,0.5,-0.1,
CRAMP1,0.1,-0.1,0.3,0.7
TEAD3,0.9,1.0,0.9,0.9
SELE,0.1,,0.1,
DNAJC11,-0.4,-0.5,-0.4,
FMO3,0.3,1.4,-0.2,0.1
MYLIP,-0.7,-0.2,-0.7,-1.1
NOX1,0.1,0.1,0.2,
E2F2,0.3,0.4,1.1,1.4
PSMB1,0.3,0.3,0.5,0.5
SYN1,-2.7,-4.1,-3.1,-2.0
JARID2,-0.4,-0.5,-0.4,0.6
CDKL5,-2.2,-2.3,-2.3,-2.3
CAMK1G,-1.5,-1.6,-1.1,-1.5
NADK,0.1,,0.1,
TFAP2B,-0.1,-0.1,-0.1,-0.1
TFAP2D,-0.2,-0.2,-0.3,0.5
DLEC1,0.1,1.2,0.3,
CYTH3,-0.6,-0.7,-0.3,-0.4
ADAM22,-1.4,-3.2,-2.3,-1.6
SYPL1,0.5,1.3,0.7,-0.5
CYB561,-0.2,0.2,-0.1,-0.2
SPAG9,-0.3,-0.4,-0.6,0.6
CELSR3,-1.8,-2.1,-1.0,0.7
AASS,1.1,0.9,0.8,-0.1
PLEKHG6,-0.3,-0.4,-0.3,-0.5
SS18L2,-0.5,-0.8,-0.2,-0.3
MPND,-0.4,-0.4,-0.5,-0.1
MGST1,0.1,1.3,-0.4,-1.8
CRY1,-0.1,0.5,0.4,0.5
PGLYRP1,-0.3,-0.3,-0.3,-0.1
NFIX,0.5,0.8,0.1,0.5
ST3GAL1,0.2,-0.5,,0.1
MMP25,-0.2,,0.1,-0.3
IL32,0.4,0.8,0.7,0.1
PKD1,-0.6,-0.1,-0.5,0.1
MAPK8IP2,-0.8,-0.9,-0.8,-0.4
MED24,-0.1,,-0.1,0.5
RHOBTB2,-0.8,-0.7,-1.1,-1.4
HEATR5B,-0.5,-0.8,-0.4,0.2
SEC62,-0.2,-0.4,-0.7,-1.1
RPS20,0.2,0.4,0.5,0.5
CSDE1,0.2,,,0.4
UBE3C,-0.3,-0.4,,0.4
REV3L,1.2,0.5,1.1,1.2
TENM1,-1.6,-3.0,-1.4,-0.1
PAX7,,-0.1,-0.2,-0.1
MASP2,-0.2,-0.3,-0.3,-0.3
IYD,,-0.2,-0.2,
FAM76A,0.1,0.6,,0.2
TRAF3IP3,0.7,0.2,0.4,
POMT2,0.5,0.5,0.1,0.3
VTA1,-0.5,-0.4,-0.4,0.2
MLXIPL,-0.5,-0.6,-0.7,-0.9
BAZ1B,,,0.3,0.7
RANBP9,0.1,-0.3,0.1,0.1
ETV7,,-0.3,-0.1,-0.3
SPRTN,0.8,0.9,0.9,0.8
EEF1AKNMT,,0.3,0.6,0.6
DYRK4,0.4,0.3,0.2,-1.0
ZNF207,0.1,0.2,0.3,0.5
UQCRC1,-0.1,-0.2,-0.1,
STARD3NL,0.4,0.1,0.5,0.1
CD9,1.6,1.7,1.2,-0.9
HHATL,-3.1,-1.5,-2.1,-3.4
NCAPD2,0.7,1.3,1.6,1.9
IFFO1,0.3,-0.4,,-0.2
GIPR,-0.2,-0.1,-0.1,-0.2
PHF7,0.3,0.4,0.3,0.4
SEMA3G,-1.5,-1.5,-1.4,-1.6
NISCH,-0.8,-0.8,-0.8,-0.3
STAB1,0.6,0.1,0.4,-0.5
FUZ,-0.4,0.1,-0.3,-0.2
SLC6A13,-1.0,2.0,-1.7,-1.6
IDS,-0.4,-0.5,-0.5,-0.5
PRSS3,-2.3,-2.4,-2.0,-2.4
ZNF200,0.3,0.6,0.7,0.7
CD4,1.0,0.5,0.4,-0.2
LRRC23,-0.5,1.8,-0.1,-0.4
BTK,0.8,,0.4,-0.5
SCMH1,-0.4,-0.1,-0.3,0.2
FYN,0.5,-0.2,0.1,0.4
HIVEP2,-1.9,-1.7,-2.2,-1.6
FMO1,0.6,3.3,0.4,0.5
ELOA,0.3,0.2,0.5,0.8
LYPLA2,,0.6,0.1,-0.1
CLCN6,-0.5,-0.9,-1.0,-0.7
MRC2,1.4,2.0,1.5,0.4
SLC6A7,-0.4,-0.5,-0.4,-0.3
TSPAN9,-0.8,-0.7,-0.5,0.7
BTBD7,0.8,0.8,0.5,1.1
APBA3,0.4,0.5,0.6,0.6
MKS1,0.7,1.1,0.9,1.1
ABHD5,0.3,,0.4,0.1
ANOS1,0.4,-0.3,-0.4,-1.9
AKAP8L,-0.6,-0.1,-0.4,0.3
MBTD1,0.7,0.7,1.1,2.3
UTP18,0.3,,0.5,0.5
RNF216,0.4,0.1,0.3,0.5
TTC19,-0.4,-0.3,-0.3,0.1
PTBP1,1.3,1.7,1.6,1.7
DPF1,,-1.1,-0.3,-0.9
SYT7,-2.5,-1.7,-2.1,-1.3
LARS2,-0.4,,-0.1,-0.3
PIK3C2A,0.5,0.6,0.5,0.3
PLAUR,0.8,0.8,1.2,
ANLN,-1.7,-2.1,0.5,-0.7
WIZ,-0.4,-0.4,0.1,
RABGAP1,,-0.1,-0.1,-0.1
DCN,0.9,,0.3,0.8
QPCTL,,,0.1,
PPP5C,-0.1,0.3,-0.1,0.4
CEP68,-0.4,-0.4,-0.5,0.1
MAP4K3,-0.3,0.1,,0.4
ZBTB32,-0.7,-0.6,-0.6,-0.6
TYROBP,1.4,0.4,0.8,-0.7
TMEM159,-0.1,-0.2,0.4,0.3
GABRA3,0.1,-0.9,-0.7,-1.3
BRCA1,0.3,1.0,1.3,1.9
ERCC1,0.7,0.6,0.6,0.9
CD22,-0.5,-0.6,-0.5,-0.7
SEMA3B,-0.6,0.5,-0.6,-1.2
MBTPS2,0.6,,0.6,0.8
PRICKLE3,0.1,,-0.1,-0.3
LTF,1.7,1.8,1.7,-1.0
EXTL3,-0.2,-0.5,-0.2,-0.3
NR1H4,,0.4,0.2,0.1
ELOVL5,0.9,0.3,0.4,-0.2
ALOX5,1.5,0.3,0.7,-1.3
KDM5D,-1.7,-1.4,-2.0,-0.8
CALCOCO1,0.2,,-0.2,
UBR7,-0.1,-0.2,,0.2
MAP4K5,1.6,0.7,1.0,1.1
EHD3,0.6,-1.8,-1.4,-2.5
PSMC4,0.6,0.6,0.8,0.6
MAN2B2,0.6,0.1,-0.3,-1.2
SLC7A14,-2.2,-3.2,-2.5,-0.8
CLDN11,-0.2,-1.9,-0.8,-1.8
SLC25A39,0.7,0.9,0.6,0.8
MVP,1.9,0.9,0.7,-0.1
NUB1,,0.3,0.1,0.1
PGM3,0.9,0.1,0.4,0.6
RWDD2A,-0.1,-0.6,-0.5,-0.3
CLK1,-0.1,-0.1,,0.5
POLR3B,-0.2,0.2,,0.3
ANGEL1,0.3,-0.1,,0.1
RNF14,-0.3,-0.5,-0.5,-0.5
DNASE1L1,-0.5,-0.3,-0.4,-0.4
DDX11,0.7,0.7,1.2,1.5
HEBP1,0.1,,,-0.6
GPRC5A,0.5,0.9,0.7,-0.3
MAMLD1,0.7,0.9,0.6,-0.2
CD6,-0.2,-0.4,-0.3,-0.4
TACC3,0.2,0.6,1.8,2.0
UFL1,1.1,0.7,0.8,0.3
POLA2,,,0.5,0.8
ZC3H3,-0.1,-0.1,,-0.1
CAPN1,0.5,0.2,,0.2
ACP3,0.2,0.3,0.2,-0.1
MDH1,-1.1,-1.3,-1.1,-1.2
SLC30A9,-0.4,-0.4,-0.3,0.2
MTMR11,1.8,1.9,1.2,-0.1
COX15,0.2,0.4,0.2,0.2
CCDC88C,-0.2,1.8,0.5,2.6
YAF2,0.4,0.1,0.2,
ZMYND11,-0.4,-0.2,-0.9,-0.6
WAS,0.6,0.2,0.4,-0.3
DPEP1,0.4,0.9,0.7,0.4
BID,-0.5,-0.1,-0.1,0.1
NPC1L1,-0.2,,0.1,
XYLT2,-0.3,,-0.2,-0.2
RGPD5,-0.9,-1.0,-0.8,-0.6
STMN4,-2.4,-3.9,-1.9,-1.7
NUDCD3,-1.0,-1.2,-0.8,-0.8
ISL1,,0.1,0.1,0.6
CHDH,0.9,-0.2,,-0.5
IL20RA,-0.8,2.3,-0.3,-0.5
CLCA1,,0.1,,
CLCA4,-1.0,-1.0,-0.3,-0.9
GLT8D1,0.6,0.7,0.5,0.2
ATP2C1,0.1,-0.1,0.1,0.1
IGF1,-0.2,-0.4,-0.5,-0.4
SLC38A5,1.1,0.7,0.9,0.6
RALBP1,,-0.2,-0.4,
RUFY3,-0.2,-1.4,-0.9,-0.3
CNTN1,-0.7,-0.4,-1.5,-0.9
SLC11A1,0.8,0.3,0.7,-0.7
WWTR1,2.2,2.1,1.3,
AGPS,0.3,-0.3,-0.1,-0.3
STEEP1,-0.2,-0.5,,
ATP1A2,-0.7,-0.6,-1.5,-2.7
TTC27,0.6,0.7,0.9,1.0
ZNF582,,-0.1,,
VSIG2,-0.4,-0.4,-0.4,-0.4
PHLDB1,0.9,-0.1,0.1,-0.6
MARCO,-0.4,-0.3,-0.2,-0.4
CYP24A1,-0.4,-0.5,-0.3,-0.6
PRDM11,-0.3,-0.2,-0.2,-0.7
SYT13,-5.9,-5.2,-3.7,-2.7
SNAI2,1.2,1.2,1.7,1.1
CD74,2.4,1.3,1.1,-0.4
HGF,0.3,,0.2,0.2
ZRANB1,-0.6,-0.2,-0.7,-0.1
NCDN,-1.9,-3.0,-2.5,-2.3
ADGRA2,0.9,0.4,0.6,0.6
ZFP64,0.2,0.4,0.5,0.9
MNAT1,-0.1,-0.1,,-0.3
SAMD4A,0.9,-0.6,-0.2,-2.2
RUNX3,0.7,1.0,1.1,0.9
MRE11,0.5,1.2,0.9,0.9
PLEKHB1,0.7,-0.8,-0.6,-3.7
SERPINB1,0.9,1.0,0.8,-0.3
CYP3A43,0.3,0.3,0.5,0.3
SLC7A9,,0.5,0.3,0.6
SPAST,0.2,0.1,0.3,1.1
NRXN3,-1.6,-3.9,-3.3,-3.9
OSBPL5,-0.4,-0.5,-0.5,-0.5
AQR,0.5,0.9,0.7,1.0
CPS1,0.6,0.9,0.8,0.3
C8B,,-0.1,0.1,-0.2
FHL1,0.3,0.6,0.3,-0.1
RTF2,0.2,0.4,0.3,0.1
GABRA1,-4.9,-4.9,-4.3,-3.8
NLRP2,0.2,0.1,0.2,-0.2
SLC45A4,-1.4,-1.5,-1.6,-1.6
RNF10,,-0.1,-0.1,-0.1
ZNF839,-0.5,,-0.3,0.1
ZDHHC6,0.4,0.2,0.3,0.3
GRAMD1B,-1.4,-2.2,-2.0,-1.4
RNH1,0.2,0.4,0.4,-0.3
NDUFS1,-0.6,-0.6,-0.3,-0.6
RB1CC1,-0.6,-0.8,-0.6,-0.1
ERP44,0.7,0.6,0.9,0.5
ALAS1,-0.7,-0.5,-0.4,-0.2
BIRC3,0.5,0.3,0.7,0.1
AKAP11,-0.7,-0.8,-1.3,-0.9
GLRX2,-0.5,-1.2,-0.2,-1.1
SNAPC1,0.5,1.4,1.0,0.7
DERA,1.0,0.9,1.0,0.8
STRAP,-0.2,-0.1,0.2,
ABCC2,0.3,0.2,0.3,0.3
DEF6,,-0.2,-0.2,-0.2
PLEKHO1,,-0.3,0.2,0.6
GCLM,0.2,1.1,0.5,-0.2
UBR2,0.1,-0.4,-0.2,-0.2
EHD2,1.0,0.2,0.6,-0.7
DEPDC1,0.3,0.9,1.9,2.5
CCDC28A,-1.0,-0.6,-0.9,-0.5
RRAGD,-0.6,0.4,,-0.8
HSF2,0.2,0.2,0.1,1.2
PHF20,-0.3,-0.4,-0.1,0.4
HSD17B6,-2.3,-2.1,-1.5,-2.5
NR1H3,0.6,0.7,0.6,0.4
TYMP,0.1,0.3,0.1,-0.3
NCAPH2,-0.3,-0.2,-0.1,0.6
TOMM34,-0.2,0.1,,-0.2
SEC63,0.6,0.6,0.5,0.6
KPNA6,-0.1,-0.3,-0.3,-0.3
VIM,2.5,2.7,2.4,1.0
FAS,2.1,2.7,1.5,-0.6
RNASET2,1.4,0.5,0.8,-0.6
CD44,2.9,2.7,1.8,-0.4
KCNG1,-2.1,0.2,-1.5,-1.5
AGPAT4,-0.2,-0.3,-0.2,
AGPAT4,-0.8,-0.4,-0.9,
SLAMF7,-0.1,-0.1,-0.1,-0.1
BTN3A1,1.5,0.4,0.7,0.4
MIPEP,0.5,1.7,0.6,0.4
PRKCH,0.7,0.1,0.3,-0.5
INSRR,-0.1,-0.1,-0.1,0.1
IFNGR1,0.7,0.3,0.3,0.1
B4GALT7,0.2,0.1,0.1,
SH2D2A,0.3,0.3,0.5,0.4
VRK2,0.8,0.8,0.5,0.2
TNFRSF1B,0.7,-0.1,0.2,-0.9
VEZT,0.2,0.4,0.3,0.8
POU2F2,0.1,-0.7,-0.3,-0.2
BRD9,,0.1,0.1,0.4
SNX1,1.5,0.6,0.9,0.3
TBPL1,-1.0,-1.2,-0.7,-0.1
ARNTL2,-0.2,,0.4,-0.2
BCLAF1,,0.2,,0.7
SLC39A9,0.2,0.1,-0.1,
ANK1,-1.5,-1.9,-1.7,-1.0
IBSP,-0.3,,,-0.4
TFB1M,,,0.3,-0.3
RABEP1,-0.2,-0.5,-0.6,-0.4
HMGB3,-0.9,-0.2,0.3,1.4
NUP160,1.6,1.5,2.1,2.2
BAK1,0.3,-0.1,0.2,-0.2
MUSK,,0.5,0.1,
IKZF2,1.5,0.7,0.3,-0.3
GRN,1.1,0.7,0.9,0.4
FAM13B,-0.1,-0.7,-0.4,0.5
ARHGAP31,1.4,0.1,0.6,-0.9
CENPQ,1.2,1.1,1.5,1.2
SARS1,-0.3,-0.7,-0.2,-0.1
RANBP3,-0.2,,-0.2,
ARID4A,0.2,-0.3,-0.3,0.5
EIPR1,-0.4,-0.3,-0.3,-0.5
PNPLA6,0.1,-0.3,-0.2,-0.8
IFT88,,1.5,0.1,0.6
ALG1,0.7,0.3,0.5,0.5
ZCCHC8,0.5,0.7,0.9,1.3
ABCF2,0.4,0.3,0.6,0.2
LRRC7,-3.9,-3.9,-3.6,-1.8
FUT8,-0.3,,-0.4,-0.4
UBA6,0.3,0.2,0.5,0.9
GAB2,0.6,-0.5,0.4,0.1
ATP6V0A1,-1.0,-1.2,-1.3,-0.9
PIAS1,-0.6,-0.3,-0.9,0.2
SLC4A7,1.1,0.4,1.4,1.4
APBA2,-0.5,-1.6,-1.3,-0.1
MAP2K3,-0.2,0.1,,-0.3
EFCAB1,-0.4,3.6,-0.4,-0.3
TMSB10,-0.2,-0.3,0.4,0.5
ASTE1,0.8,0.7,0.8,0.8
RNF19A,-0.1,0.8,0.1,-0.5
PEX3,0.3,0.4,0.1,0.3
GABARAPL2,,-0.1,-0.4,-0.5
MYOC,0.5,0.4,0.3,0.3
SH3YL1,-0.4,-0.3,-0.4,-0.2
FAM136A,-0.1,-0.1,0.4,0.7
VCL,0.6,0.9,0.7,-0.3
DEPDC1B,-0.4,0.5,1.7,2.7
DAPK2,-0.1,-0.3,-0.3,-0.1
NSMAF,0.6,0.2,0.6,0.4
ADSS2,,0.1,0.2,0.1
STAP1,-0.1,-0.1,-0.1,-0.1
TIMP2,1.1,0.8,0.8,-0.1
RFC1,,0.2,0.2,0.5
TBC1D23,0.1,-0.3,0.1,-0.1
CUL3,-0.2,0.2,0.1,0.3
MYOM2,-0.9,-0.7,-0.8,-1.1
OTC,0.4,0.2,0.3,
CYP46A1,-2.3,-2.9,-3.3,-4.3
ZZZ3,0.6,0.5,0.7,0.7
SLC18A1,0.6,,0.3,0.3
USP2,-0.4,0.4,-0.7,-1.2
CASR,-0.3,-0.5,-0.4,-0.6
TUBG2,-1.3,-1.8,-1.8,-2.2
FLT4,-0.1,0.3,0.1,
NSUN2,0.3,0.5,0.7,0.8
FBXO42,,-0.1,-0.1,
MFAP3,0.3,1.1,0.5,1.5
MRI1,-0.1,-0.1,,-0.2
METTL1,,-0.1,0.7,0.2
HOXC8,0.4,0.3,0.4,0.2
AGA,0.9,1.6,1.2,0.1
PI4K2B,1.0,0.4,0.9,0.3
BOD1L1,-0.4,-0.5,-0.2,0.3
MAT2B,-0.8,-0.4,-0.7,-0.2
TLL1,0.1,0.1,0.3,0.6
TRIO,0.6,-0.8,0.5,0.3
VCAN,3.3,1.8,1.9,1.0
CLEC16A,-0.4,-0.5,-0.4,-0.2
MSR1,1.6,0.7,1.5,-0.2
CDH1,2.9,-0.1,1.0,0.6
MTREX,0.1,0.2,0.3,0.6
DNAH5,0.2,2.2,-0.1,-0.1
ZFYVE16,0.4,0.3,0.4,0.3
RIPOR1,-0.5,-0.7,-0.5,-0.3
C6,0.1,0.6,,-0.1
RAI14,0.6,0.8,1.1,1.4
SOX30,-0.2,,-0.1,
PNKP,,0.4,0.1,-0.1
BEST2,0.2,0.1,0.3,0.1
PHLPP2,-0.9,-1.3,-1.0,-1.0
SPDL1,0.4,0.6,1.0,1.5
STAU2,-0.7,-0.8,-0.9,-0.1
SLC66A1,0.6,0.4,0.6,0.3
CTNS,0.7,0.7,0.8,-0.1
RTN4R,-2.8,-1.5,-2.0,-1.3
PHF23,0.4,0.6,0.4,0.3
CDH10,-0.3,-2.1,-1.4,-2.4
INPP4A,-1.8,-1.4,-1.5,-1.0
RAB27B,-1.9,-3.3,-1.6,-3.6
PSMA4,-0.2,0.2,0.2,0.5
MYO16,-0.7,-0.9,-1.5,-0.3
LSG1,,0.2,0.5,0.2
PARP3,0.3,0.3,0.5,0.2
TNC,2.1,3.5,2.4,
THAP3,-0.3,-0.3,-0.3,
RIPOR3,1.8,0.5,1.3,
TDP1,0.2,0.6,0.6,1.1
AIFM2,,0.2,,-0.2
C2orf83,-0.2,-0.2,-0.2,-0.1
SPATA7,-0.1,0.1,-0.4,-0.2
MED17,1.0,0.8,0.8,1.4
RETSAT,0.4,0.6,0.1,-0.6
CAPG,1.2,0.7,1.5,-0.4
AP2S1,-0.4,-0.3,,-0.2
USH2A,-0.1,,0.1,0.9
ZPBP,0.2,0.2,0.2,0.1
TG,-0.1,0.4,,-0.1
ADAM28,1.8,0.5,1.1,-0.6
BARX2,-0.1,0.1,,-0.1
DCUN1D1,-0.3,-0.4,-0.4,-0.2
JADE2,,-1.4,-1.2,-1.8
ZIC2,-1.5,2.2,-1.0,0.6
LCP2,0.7,0.3,0.7,-0.4
TRIT1,0.2,0.2,0.3,0.8
ADRB1,-2.6,-4.3,-1.6,-3.9
GUCA2B,-0.2,-0.3,-0.3,-0.3
CUL7,-0.1,0.3,,0.2
CTNNA1,1.0,1.1,0.6,0.1
PHKA2,0.1,0.5,0.3,0.5
CNTLN,0.7,1.4,1.1,1.9
EPHA3,0.8,-0.6,-0.6,0.7
HSPA5,0.5,0.8,0.6,-0.3
DSG2,0.8,3.6,1.5,2.0
GEMIN8,0.1,0.9,0.2,0.2
OFD1,0.5,0.9,0.8,0.6
GPM6B,0.1,,-0.1,-2.6
MAGEC2,0.3,0.3,0.3,0.2
PREX2,1.2,-0.2,-1.0,-1.7
WDR37,-0.3,-0.4,-0.7,-0.3
YTHDC2,-0.2,-0.3,,0.4
CTPS2,0.8,0.7,1.1,1.3
ATP6V1H,-1.1,-1.2,-1.1,-1.0
POLR2B,0.1,0.2,0.5,1.1
FAM214A,0.1,,-0.2,0.5
ARAP2,-0.8,-0.5,-0.9,-3.8
TPR,0.4,0.6,0.7,0.8
